Datum_avliden,2020-04-02,,2020-04-03,,2020-04-04,,2020-04-05
2020-03-11,0,1,1,,1,,1
2020-03-12,0,,0,,0,,0
2020-03-13,1,,1,,1,,1
2020-03-14,1,,1,,1,,1
2020-03-15,2,,2,,2,,2
2020-03-16,2,,2,,2,,2
2020-03-17,1,,1,,1,,1
2020-03-18,6,,6,,6,,6
2020-03-19,7,,7,,7,,7
2020-03-20,9,,9,,9,,9
2020-03-21,8,,8,,8,,8
2020-03-22,11,,11,,11,,11
2020-03-23,8,+1,9,,9,,9
2020-03-24,16,,16,,16,,16
2020-03-25,22,,22,+1,23,+1,24
2020-03-26,27,,27,,27,,27
2020-03-27,31,,31,,31,+1,32
2020-03-28,26,+3,29,,29,,29
2020-03-29,25,+2,27,+1,28,+1,29
2020-03-30,26,+4,30,,30,,30
2020-03-31,26,+7,33,+3,36,,36
2020-04-01,13,+10,23,+2,25,+6,31
2020-04-02,5,+18,23,+13,36,+7,43
2020-04-03,0,+2,2,+16,18,+4,22
2020-04-04,0,,0,+1,1,+5,6
2020-04-05,,,,,,+1,1
Uppgift saknas,9,+3,12,+3,15,+2,17
,,51,,40,,28,
