date,name,age,notes,country
2020-03-09,Lee Cha-su,62,Politician and activist,South Korea (Daegu)
2020-03-09,Mohammad-Reza Rahchamani,67,Member of Parliament,Iran (Tehran)
2020-03-30,Joachim Yhombi-Opango,81,Former President and Prime Minister of the Republic of the Congo,France (Neuilly)
2020-03-31,Julie Bennett,88,Voice actor,United States (Los Angeles)
2020-03-31,Wilhelm Burmann,80,German-born ballet master and teacher,United States (New York)
2020-03-31,Viktar Dashkevich,75,Stage actor,Belarus (Vitebsk)
2020-03-31,Pape Diouf,68,"Journalist, former president of Olympique de Marseille",Senegal (Dakar)
2020-03-31,Rafael Gómez Nieto,99,"Spanish Civil War and World War II veteran, last surviving member of La Nueve.",France (Strasbourg)
2020-03-31,James Gordon,83,"Businessman and politician, founder of Radio Clyde, member of the House of Lords",United Kingdom (Glasgow)
2020-03-31,Andrew Jack,76,Dialect coach and actor,United Kingdom (London)
2020-03-31,Tomas Oneborg,62,Photographer,Sweden (Stockholm)
2020-03-31,Sa'ad Galadiman Patigi,67,Nigerian-born medical director,United Kingdom (London)
2020-03-31,Gita Ramjee,63,HIV prevention researcher,South Africa (Umhlanga)
2020-03-31,Wallace Roney,59,Jazz trumpeter,United States (New York)
2020-03-31,Peter J. N. Sinclair,73,Economist,United Kingdom
2020-03-31,Daniel Yuste,75,Cyclist,Spain
2020-04-01,Branislav Blažić,63,"Surgeon and politician, former Minister of Environmental Protection",Serbia (Belgrade)
2020-04-01,David Driskell,88,Visual artist and academic,United States (Hyattsville)
2020-04-01,Kevin Duffy,87,Former judge for the U.S. District Court for Southern New York,United States (Greenwich)
2020-04-01,Bernard Epin,83,French writer and literary critic,
2020-04-01,Nur Hassan Hussein,83,Former Prime Minister of Somalia,United Kingdom (London)
2020-04-01,Ellis Marsalis Jr.,85,Jazz pianist,United States (New Orleans)
2020-04-01,Bucky Pizzarelli,94,Jazz guitarist,United States (Saddle River)
2020-04-01,Adam Schlesinger,52,"Songwriter, member of Fountains of Wayne",United States (Poughkeepsie)
2020-04-02,Goyo Benito,73,Footballer,Spain (Madrid)
2020-04-02,Patricia Bosworth,86,Actress and author,United States (New York)
2020-04-02,Bernardita Catalla,62,Philippine ambassador to Lebanon,Lebanon (Beirut)
2020-04-02,Zaccaria Cometti,83,Footballer,Italy (Romano di Lombardia)
2020-04-02,François de Gaulle,98,Catholic priest and missionary,France (Paris)
2020-04-02,William Frankland,108,Allergist and immunologist,United Kingdom (London)
2020-04-02,Juan Giménez,76,Comic book artist and illustrator,Argentina (Mendoza)
2020-04-02,Eddie Large,78,Comedian,United Kingdom (Bristol)
2020-04-02,Aaron Rubashkin,92,Businessman,United States
2020-04-02,Nirmal Singh Khalsa,67,"Singer, Ragi of Darbar Sahib",India (Amritsar)
2020-04-02,Arnold Sowinski,89,Footballer,France (Lens)
2020-04-02,Arthur Whistler,75,"Ethnobotanist, academic and writer",United States (Honolulu)
2020-04-02,Feriha Öz,86,"Pathologist, academic and medical doctor",Turkey
2020-04-03,Bob Glanzer,74,"Politician, member of the South Dakota House of Representatives",United States (Sioux Falls)
2020-04-03,Arnold Demain,92,American microbiologist,
2020-04-03,Francisco Hernando Contreras,74,Housing developer,Spain (Madrid)
2020-04-03,Marguerite Lescop,104,Writer,Canada (Longueuil)
2020-04-03,Rodrigo Pesántez Rodas,82,Writer and poet,Ecuador (Guayaquil)
2020-04-03,Omar Quintana,76,"Politician, sports executive, and businessman, former president of the National Congress",Ecuador
2020-04-03,Tim Robinson,85,Writer and cartographer,United Kingdom (London)
2020-04-03,Sergio Rossi,84,Shoe designer,Italy (Cesena)
2020-04-03,Yusuf Kenan Sönmez,71,"Politician, former member of the Grand National Assembly of Turkey",Turkey
2020-04-03,Arlene Stringer-Cuevas,86,Former member of the New York City Council,United States (New York)
2020-04-04,Jay Benedict,68,"American actor, who worked mainly in Britain",United Kingdom (London)
2020-04-04,Philippe Bodson,75,Businessman and politician; former Belgian senator,Belgium (Brussels)
2020-04-04,Forrest Compton,94,Actor,United States (Shelter Island)
2020-04-04,Florindo Corral,70,Businessman,Brazil (São Paulo)
2020-04-04,Tom Dempsey,73,American football placekicker,United States (New Orleans)
2020-04-04,Xavier Dor,91,Embryologist and anti-abortion activist,France (Paris)
2020-04-04,Olan Montgomery,56,Actor and artist,United States (New York)
2020-04-04,Muhammad Sirajul Islam,77,Former member of Bangladeshi parliament,United States (New York)
2020-04-04,Marcel Moreau,86,Belgian writer,France (Paris)
2020-04-04,Anton Sebastianpillai,70s,Author (writing as Anton Sebastian) and consultant geriatrician.,United Kingdom (London)
2020-04-04,Alexander Thynn,87,"Aristocrat, 7th Marquess of Bath",United Kingdom (Bath)
2020-04-04,Frida Wattenberg,95,Member of the French resistance,France
2020-04-05,Lee Fierro,91,Actress,United States (Akron)
2020-04-05,Mahmoud Jibril,67,"Politician, formerly acting Prime Minister of Libya",Egypt (Cairo)
2020-04-05,John Laws,74,Former Lord Justice of Appeal,United Kingdom (London)
2020-04-05,Michel Parisse,83,French historian,
2020-04-06,Helène Aylon,89,Ecofeminist artist,United States
2020-04-06,Josep Maria Benet i Jornet,79,Playwright and screenwriter,Spain (Lleida)
2020-04-06,Alfonso Cortina,76,Former President of Repsol YPF,Spain (Toledo)
2020-04-06,Jacques Le Brun,88,French historian,
2020-04-06,Mark Steiner,77,American-born mathematician and professor of philosophy,Israel (Jerusalem)
2020-04-06,Stephen Sulyk,95,"Ukrainian Catholic bishop, Archeparch emeritus of Philadelphia",United States (Philadelphia)
2020-04-06,Riay Tatary,72,"Muslim religious leader, chairman of the Islamic Commission of Spain",Spain (Madrid)
2020-04-07,Roger Chappot,79,Olympic ice hockey player,Switzerland
2020-04-07,Robert Chaudenson,82,Linguist,France (Aix-en-Provence)
2020-04-07,Jean-Laurent Cochet,85,Actor and director ,France (Paris)
2020-04-07,Allen Garfield,80,Actor,United States (Los Angeles)
2020-04-07,Leib Groner,88,American Chabad-Lubavitch Rabbi,
2020-04-07,Mishik Kazaryan,72,Armenian-born physicist,Russia (Moscow)
2020-01-31,Wen Zengxian,68,Former Deputy director-general of the Civil Affairs Department of Hubei Province,China (Wuhan)
2020-02-06,Qiu Jun,72,Bodybuilder,China (Wuhan)
2020-02-07,Hong Ling,53,"Geneticist, professor",China (Wuhan)
2020-02-07,Li Wenliang,33,"Ophthalmologist, the first person to warn about the COVID-19 outbreak",China (Wuhan)
2020-02-10,Lin Zhengbin,62,Organ transplantation expert,China (Wuhan)
2020-02-13,Liu Shouxiang,61,Watercolor painter and professor,China (Wuhan)
2020-02-14,Liu Fan,59,Deputy Chief Nurse of Wuchang Hospital,China (Wuhan)
2020-02-15,Duan Zhengcheng,85,Industrial engineer and inventor,China (Wuhan)
2020-02-27,Hadi Khosroshahi,81,"Cleric and diplomat, former Ambassador to the Vatican",Iran (Tehran)
2020-03-02,Mohammad Mirmohammadi,71,Senior adviser to Supreme Leader Ali Khamenei,Iran (Tehran)
2020-03-05,Hossein Sheikholeslam,67,Politician and diplomat,Iran (Tehran)
2020-03-07,Reza Mohammadi Langroudi,91,Ayatollah,Iran (Langarud)
2020-03-07,Fatemeh Rahbar,55,Member of Parliament,Iran (Tehran)
