week,min,max,deaths
2019-12-30,1330,1575,1346
2020-01-06,1847,2125,1884
2020-01-13,1833,2113,1826
2020-01-20,1855,2000,1728
2020-01-27,1755,1993,1845
2020-02-03,1857,1956,1729
2020-02-10,1802,2065,1816
2020-02-17,1810,2108,1774
2020-02-24,1524,1841,1775
2020-03-02,1698,2212,1818
2020-03-09,1746,2126,1715
2020-03-16,1672,2033,1839
2020-03-23,1638,1939,1972
2020-03-30,1712,1999,2154
2020-04-06,1608,1849,
2020-04-13,1690,1844,
2020-04-20,1657,1851,
2020-04-27,1616,1718,
2020-05-04,1577,1698,
2020-05-11,1544,1669,
2020-05-18,1420,1670,
2020-05-25,1450,1627,
2020-06-01,1491,1617,
2020-06-08,1451,1609,
2020-06-15,1507,1592,
2020-06-22,1509,1576,
2020-06-29,1505,1674,
2020-07-06,1509,1608,
2020-07-13,1529,1686,
2020-07-20,1447,1655,
2020-07-27,1551,1752,
2020-08-03,1524,1556,
2020-08-10,1469,1604,
2020-08-17,1478,1586,
2020-08-24,1458,1619,
2020-08-31,1511,1649,
2020-09-07,1502,1596,
2020-09-14,1541,1592,
2020-09-21,1571,1633,
2020-09-28,1575,1651,
2020-10-05,1528,1676,
2020-10-12,1568,1706,
2020-10-19,1648,1698,
2020-10-26,1645,1717,
2020-11-02,1622,1696,
2020-11-09,1567,1765,
2020-11-16,1525,1737,
2020-11-23,1661,1731,
2020-11-30,1714,1805,
2020-12-07,1669,1868,
2020-12-14,1708,1853,
2020-12-21,1737,1906,
2020-12-28,931,1132,
