report_date,death_date,deaths,new_deaths
2020-04-02,2020-03-11,0,0
2020-04-02,2020-03-12,0,0
2020-04-02,2020-03-13,1,1
2020-04-02,2020-03-14,1,1
2020-04-02,2020-03-15,2,2
2020-04-02,2020-03-16,2,2
2020-04-02,2020-03-17,1,1
2020-04-02,2020-03-18,6,6
2020-04-02,2020-03-19,7,7
2020-04-02,2020-03-20,9,9
2020-04-02,2020-03-21,8,8
2020-04-02,2020-03-22,11,11
2020-04-02,2020-03-23,8,8
2020-04-02,2020-03-24,16,16
2020-04-02,2020-03-25,22,22
2020-04-02,2020-03-26,27,27
2020-04-02,2020-03-27,31,31
2020-04-02,2020-03-28,26,26
2020-04-02,2020-03-29,25,25
2020-04-02,2020-03-30,26,26
2020-04-02,2020-03-31,26,26
2020-04-02,2020-04-01,13,13
2020-04-02,2020-04-02,5,5
2020-04-03,2020-03-11,1,1
2020-04-03,2020-03-12,0,0
2020-04-03,2020-03-13,1,0
2020-04-03,2020-03-14,1,0
2020-04-03,2020-03-15,2,0
2020-04-03,2020-03-16,2,0
2020-04-03,2020-03-17,1,0
2020-04-03,2020-03-18,6,0
2020-04-03,2020-03-19,7,0
2020-04-03,2020-03-20,9,0
2020-04-03,2020-03-21,8,0
2020-04-03,2020-03-22,11,0
2020-04-03,2020-03-23,9,1
2020-04-03,2020-03-24,16,0
2020-04-03,2020-03-25,22,0
2020-04-03,2020-03-26,27,0
2020-04-03,2020-03-27,31,0
2020-04-03,2020-03-28,29,3
2020-04-03,2020-03-29,27,2
2020-04-03,2020-03-30,30,4
2020-04-03,2020-03-31,33,7
2020-04-03,2020-04-01,23,10
2020-04-03,2020-04-02,23,18
2020-04-03,2020-04-03,2,2
2020-04-04,2020-03-11,1,0
2020-04-04,2020-03-12,0,0
2020-04-04,2020-03-13,1,0
2020-04-04,2020-03-14,1,0
2020-04-04,2020-03-15,2,0
2020-04-04,2020-03-16,2,0
2020-04-04,2020-03-17,1,0
2020-04-04,2020-03-18,6,0
2020-04-04,2020-03-19,7,0
2020-04-04,2020-03-20,9,0
2020-04-04,2020-03-21,8,0
2020-04-04,2020-03-22,11,0
2020-04-04,2020-03-23,9,0
2020-04-04,2020-03-24,16,0
2020-04-04,2020-03-25,23,1
2020-04-04,2020-03-26,27,0
2020-04-04,2020-03-27,31,0
2020-04-04,2020-03-28,29,0
2020-04-04,2020-03-29,28,1
2020-04-04,2020-03-30,30,0
2020-04-04,2020-03-31,36,3
2020-04-04,2020-04-01,25,2
2020-04-04,2020-04-02,36,13
2020-04-04,2020-04-03,18,16
2020-04-04,2020-04-04,1,1
2020-04-05,2020-03-11,1,0
2020-04-05,2020-03-12,0,0
2020-04-05,2020-03-13,1,0
2020-04-05,2020-03-14,1,0
2020-04-05,2020-03-15,2,0
2020-04-05,2020-03-16,2,0
2020-04-05,2020-03-17,1,0
2020-04-05,2020-03-18,6,0
2020-04-05,2020-03-19,7,0
2020-04-05,2020-03-20,9,0
2020-04-05,2020-03-21,8,0
2020-04-05,2020-03-22,11,0
2020-04-05,2020-03-23,9,0
2020-04-05,2020-03-24,16,0
2020-04-05,2020-03-25,24,1
2020-04-05,2020-03-26,27,0
2020-04-05,2020-03-27,32,1
2020-04-05,2020-03-28,29,0
2020-04-05,2020-03-29,29,1
2020-04-05,2020-03-30,30,0
2020-04-05,2020-03-31,36,0
2020-04-05,2020-04-01,31,6
2020-04-05,2020-04-02,43,7
2020-04-05,2020-04-03,22,4
2020-04-05,2020-04-04,6,5
2020-04-05,2020-04-05,1,1
2020-04-06,2020-03-11,1,0
