daytype,day,share,report_date,death_date,deaths,final_deaths
Weekday,7,0.06896551724137931034,2020-04-02,2020-03-26,27,29
Weekday,7,0.03125000000000000000,2020-04-03,2020-03-27,31,32
Weekday,6,0.03125000000000000000,2020-04-02,2020-03-27,31,32
Holiday,7,0.17142857142857142857,2020-04-04,2020-03-28,29,35
Holiday,6,0.17142857142857142857,2020-04-03,2020-03-28,29,35
Holiday,5,0.25714285714285714286,2020-04-02,2020-03-28,26,35
Holiday,7,0.23684210526315789474,2020-04-05,2020-03-29,29,38
Holiday,6,0.26315789473684210526,2020-04-04,2020-03-29,28,38
Holiday,5,0.28947368421052631579,2020-04-03,2020-03-29,27,38
Holiday,4,0.34210526315789473684,2020-04-02,2020-03-29,25,38
Weekday,7,0.27272727272727272727,2020-04-06,2020-03-30,32,44
Weekday,6,0.31818181818181818182,2020-04-05,2020-03-30,30,44
Weekday,5,0.31818181818181818182,2020-04-04,2020-03-30,30,44
Weekday,4,0.31818181818181818182,2020-04-03,2020-03-30,30,44
Weekday,3,0.40909090909090909091,2020-04-02,2020-03-30,26,44
Weekday,7,0.17777777777777777778,2020-04-07,2020-03-31,37,45
Weekday,6,0.20000000000000000000,2020-04-06,2020-03-31,36,45
Weekday,5,0.20000000000000000000,2020-04-05,2020-03-31,36,45
Weekday,4,0.20000000000000000000,2020-04-04,2020-03-31,36,45
Weekday,3,0.26666666666666666667,2020-04-03,2020-03-31,33,45
Weekday,2,0.42222222222222222222,2020-04-02,2020-03-31,26,45
Weekday,7,0.17647058823529411765,2020-04-08,2020-04-01,42,51
Weekday,6,0.21568627450980392157,2020-04-07,2020-04-01,40,51
Weekday,5,0.31372549019607843137,2020-04-06,2020-04-01,35,51
Weekday,4,0.39215686274509803922,2020-04-05,2020-04-01,31,51
Weekday,3,0.50980392156862745098,2020-04-04,2020-04-01,25,51
Weekday,2,0.54901960784313725490,2020-04-03,2020-04-01,23,51
Weekday,1,0.74509803921568627451,2020-04-02,2020-04-01,13,51
Weekday,7,0.02985074626865671642,2020-04-09,2020-04-02,65,67
Weekday,6,0.11940298507462686567,2020-04-08,2020-04-02,59,67
Weekday,5,0.17910447761194029851,2020-04-07,2020-04-02,55,67
Weekday,4,0.29850746268656716418,2020-04-06,2020-04-02,47,67
Weekday,3,0.35820895522388059701,2020-04-05,2020-04-02,43,67
Weekday,2,0.46268656716417910448,2020-04-04,2020-04-02,36,67
Weekday,1,0.65671641791044776119,2020-04-03,2020-04-02,23,67
Weekday,0,0.92537313432835820896,2020-04-02,2020-04-02,5,67
Weekday,7,0.18987341772151898734,2020-04-10,2020-04-03,64,79
Weekday,6,0.26582278481012658228,2020-04-09,2020-04-03,58,79
Weekday,5,0.31645569620253164557,2020-04-08,2020-04-03,54,79
Weekday,4,0.37974683544303797468,2020-04-07,2020-04-03,49,79
Weekday,3,0.56962025316455696203,2020-04-06,2020-04-03,34,79
Weekday,2,0.72151898734177215190,2020-04-05,2020-04-03,22,79
Weekday,1,0.77215189873417721519,2020-04-04,2020-04-03,18,79
Weekday,0,0.97468354430379746835,2020-04-03,2020-04-03,2,79
Holiday,7,0.16176470588235294118,2020-04-11,2020-04-04,57,68
Holiday,6,0.16176470588235294118,2020-04-10,2020-04-04,57,68
Holiday,5,0.20588235294117647059,2020-04-09,2020-04-04,54,68
Holiday,4,0.29411764705882352941,2020-04-08,2020-04-04,48,68
Holiday,3,0.41176470588235294118,2020-04-07,2020-04-04,40,68
Holiday,2,0.75000000000000000000,2020-04-06,2020-04-04,17,68
Holiday,1,0.91176470588235294118,2020-04-05,2020-04-04,6,68
Holiday,0,0.98529411764705882353,2020-04-04,2020-04-04,1,68
Holiday,7,0.07407407407407407407,2020-04-12,2020-04-05,75,81
Holiday,6,0.07407407407407407407,2020-04-11,2020-04-05,75,81
Holiday,5,0.07407407407407407407,2020-04-10,2020-04-05,75,81
Holiday,4,0.17283950617283950617,2020-04-09,2020-04-05,67,81
Holiday,3,0.28395061728395061728,2020-04-08,2020-04-05,58,81
Holiday,2,0.39506172839506172840,2020-04-07,2020-04-05,49,81
Holiday,1,0.71604938271604938272,2020-04-06,2020-04-05,23,81
Holiday,0,0.98765432098765432099,2020-04-05,2020-04-05,1,81
Weekday,7,0.17777777777777777778,2020-04-13,2020-04-06,74,90
Weekday,6,0.17777777777777777778,2020-04-12,2020-04-06,74,90
Weekday,5,0.17777777777777777778,2020-04-11,2020-04-06,74,90
Weekday,4,0.17777777777777777778,2020-04-10,2020-04-06,74,90
Weekday,3,0.26666666666666666667,2020-04-09,2020-04-06,66,90
Weekday,2,0.38888888888888888889,2020-04-08,2020-04-06,55,90
Weekday,1,0.58888888888888888889,2020-04-07,2020-04-06,37,90
Weekday,0,0.85555555555555555556,2020-04-06,2020-04-06,13,90
Weekday,7,0.16666666666666666667,2020-04-14,2020-04-07,65,78
Weekday,6,0.23076923076923076923,2020-04-13,2020-04-07,60,78
Weekday,5,0.23076923076923076923,2020-04-12,2020-04-07,60,78
Weekday,4,0.23076923076923076923,2020-04-11,2020-04-07,60,78
Weekday,3,0.23076923076923076923,2020-04-10,2020-04-07,60,78
Weekday,2,0.32051282051282051282,2020-04-09,2020-04-07,53,78
Weekday,1,0.53846153846153846154,2020-04-08,2020-04-07,36,78
Weekday,0,0.97435897435897435897,2020-04-07,2020-04-07,2,78
Weekday,7,0.11764705882352941176,2020-04-15,2020-04-08,90,102
Weekday,6,0.24509803921568627451,2020-04-14,2020-04-08,77,102
Weekday,5,0.31372549019607843137,2020-04-13,2020-04-08,70,102
Weekday,4,0.31372549019607843137,2020-04-12,2020-04-08,70,102
Weekday,3,0.31372549019607843137,2020-04-11,2020-04-08,70,102
Weekday,2,0.34313725490196078431,2020-04-10,2020-04-08,67,102
Weekday,1,0.53921568627450980392,2020-04-09,2020-04-08,47,102
Weekday,0,0.94117647058823529412,2020-04-08,2020-04-08,6,102
Weekday,7,0.16000000000000000000,2020-04-16,2020-04-09,63,75
Weekday,6,0.26666666666666666667,2020-04-15,2020-04-09,55,75
Weekday,5,0.42666666666666666667,2020-04-14,2020-04-09,43,75
Weekday,4,0.65333333333333333333,2020-04-13,2020-04-09,26,75
Weekday,3,0.68000000000000000000,2020-04-12,2020-04-09,24,75
Weekday,2,0.69333333333333333333,2020-04-11,2020-04-09,23,75
Weekday,1,0.73333333333333333333,2020-04-10,2020-04-09,20,75
Weekday,0,0.96000000000000000000,2020-04-09,2020-04-09,3,75
Holiday,7,0.17333333333333333333,2020-04-17,2020-04-10,62,75
Holiday,6,0.17333333333333333333,2020-04-16,2020-04-10,62,75
Holiday,5,0.30666666666666666667,2020-04-15,2020-04-10,52,75
Holiday,4,0.58666666666666666667,2020-04-14,2020-04-10,31,75
Holiday,3,0.77333333333333333333,2020-04-13,2020-04-10,17,75
Holiday,2,0.81333333333333333333,2020-04-12,2020-04-10,14,75
Holiday,1,0.82666666666666666667,2020-04-11,2020-04-10,13,75
Holiday,0,0.96000000000000000000,2020-04-10,2020-04-10,3,75
Holiday,7,0.01351351351351351351,2020-04-18,2020-04-11,73,74
